epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6074,0.49685,0.7608,0.54566,0.89917,0,0.88992,0.89968,0.93088,0.81714,0.85827,0.91171,0.91432,0.73353,0.44233,0.54972,0.44431,0.85778,0,0.0001875,0.0001875,0.0001875
2,39.6249,0.48935,0.70322,0.51404,0.88589,0,0.95674,0.90191,0.94722,0.83156,0.94999,0.90468,0.94675,0.76313,0.45151,0.5573,0.44113,0.8617,0,0.000384943,0.000384943,0.000384943
3,57.2971,0.52186,0.74183,0.52188,0.89337,0,0.89198,0.87918,0.9255,0.81103,0.90243,0.85297,0.91207,0.72927,0.47598,0.60959,0.48,0.87004,0,0.000579745,0.000579745,0.000579745
4,75.2387,0.53419,0.70471,0.51587,0.90159,0,0.9275,0.81439,0.90367,0.78708,0.93359,0.81951,0.90642,0.70997,0.50479,0.66057,0.53831,0.87858,0,0.000771908,0.000771908,0.000771908
5,93.0317,0.56137,0.7563,0.54663,0.90656,0,0.87985,0.86887,0.91971,0.76067,0.89064,0.87619,0.93004,0.71766,0.5339,0.66567,0.545,0.90486,0,0.00096143,0.00096143,0.00096143
6,110.709,0.55571,0.77435,0.55509,0.90674,0,0.88022,0.8868,0.90065,0.74238,0.88315,0.88916,0.90707,0.67159,0.55121,0.77466,0.53864,0.89699,0,0.00114831,0.00114831,0.00114831
7,128.52,0.57569,0.76065,0.56877,0.91362,0,0.81396,0.90385,0.90444,0.75445,0.80938,0.89893,0.89055,0.68391,0.5301,0.70358,0.62779,0.89788,0,0.0012005,0.0012005,0.0012005
8,146.407,0.57914,0.73068,0.552,0.91284,0,0.89212,0.85398,0.91177,0.74866,0.88097,0.86573,0.91532,0.65909,0.57164,0.7982,0.55322,0.9135,0,0.00119225,0.00119225,0.00119225
9,164.559,0.57437,0.78621,0.55562,0.91399,0,0.88096,0.82611,0.87283,0.7108,0.90517,0.84971,0.88726,0.66256,0.58052,0.79429,0.57121,0.9228,0,0.001184,0.001184,0.001184
10,183.25,0.55521,0.77185,0.53309,0.91128,0,0.89056,0.86914,0.9052,0.74778,0.88695,0.86405,0.87303,0.67425,0.53693,0.74874,0.52656,0.91775,0,0.00117575,0.00117575,0.00117575
11,201.512,0.56431,0.73963,0.52811,0.91971,0,0.85588,0.89386,0.90612,0.74501,0.84693,0.88635,0.90082,0.66803,0.56098,0.7379,0.56963,0.91007,0,0.0011675,0.0011675,0.0011675
12,219.571,0.58247,0.77741,0.54695,0.91652,0,0.86524,0.8591,0.90307,0.75631,0.8684,0.86054,0.89971,0.67795,0.54666,0.76236,0.55063,0.89634,0,0.00115925,0.00115925,0.00115925
13,238.036,0.56298,0.75627,0.53511,0.90708,0,0.88953,0.8821,0.9137,0.76275,0.88876,0.88133,0.91134,0.70797,0.56083,0.72324,0.54676,0.89277,0,0.001151,0.001151,0.001151
14,256.204,0.55749,0.70839,0.52069,0.90498,0,0.88276,0.87371,0.91516,0.77352,0.88181,0.87146,0.91224,0.70896,0.56326,0.74072,0.5214,0.89909,0,0.00114275,0.00114275,0.00114275
15,274.522,0.55537,0.69457,0.50608,0.90871,0,0.90582,0.85751,0.91904,0.77094,0.90956,0.85598,0.92097,0.71428,0.53171,0.70065,0.54725,0.8881,0,0.0011345,0.0011345,0.0011345
16,293.255,0.55837,0.73217,0.51215,0.90055,0,0.91307,0.84938,0.90199,0.75757,0.90794,0.84403,0.9043,0.69589,0.52761,0.72027,0.56151,0.89144,0,0.00112625,0.00112625,0.00112625
17,311.894,0.55237,0.70737,0.49819,0.89633,0,0.91075,0.8826,0.9195,0.76611,0.90438,0.87662,0.90985,0.70502,0.53486,0.70564,0.51755,0.89818,0,0.001118,0.001118,0.001118
18,330.535,0.54917,0.71587,0.5047,0.90393,0,0.86086,0.90654,0.91768,0.77337,0.8549,0.90063,0.91636,0.71873,0.56401,0.64569,0.53167,0.89171,0,0.00110975,0.00110975,0.00110975
19,348.79,0.56619,0.701,0.51266,0.897,0,0.88772,0.86854,0.91626,0.7788,0.8914,0.87164,0.91726,0.6857,0.51865,0.81563,0.50818,0.88927,0,0.0011015,0.0011015,0.0011015
20,367.016,0.5342,0.67116,0.49653,0.89834,0,0.88192,0.87777,0.92491,0.79286,0.878,0.88304,0.92206,0.73347,0.49833,0.67966,0.48876,0.86618,0,0.00109325,0.00109325,0.00109325
21,385.311,0.5226,0.62887,0.47759,0.88551,0,0.85782,0.88442,0.91137,0.76013,0.85291,0.87923,0.90697,0.71892,0.51654,0.64172,0.50627,0.88987,0,0.001085,0.001085,0.001085
22,403.551,0.53862,0.68672,0.48238,0.89616,0,0.91948,0.88449,0.92531,0.79074,0.91951,0.88676,0.92367,0.7281,0.50843,0.66438,0.49257,0.88666,0,0.00107675,0.00107675,0.00107675
23,421.738,0.53492,0.6753,0.48343,0.88984,0,0.90011,0.8973,0.92857,0.78989,0.8948,0.89209,0.92925,0.73298,0.52687,0.69328,0.49778,0.88388,0,0.0010685,0.0010685,0.0010685
24,440.137,0.52715,0.65421,0.46601,0.89748,0,0.91675,0.87871,0.93305,0.80147,0.9196,0.87624,0.92399,0.72066,0.50365,0.7974,0.48666,0.88057,0,0.00106025,0.00106025,0.00106025
25,458.348,0.53503,0.66306,0.48234,0.90094,0,0.95576,0.85855,0.93083,0.79127,0.94906,0.85257,0.91842,0.72864,0.52829,0.74076,0.51137,0.88065,0,0.001052,0.001052,0.001052
26,476.848,0.53925,0.66945,0.4779,0.89598,0,0.94359,0.84951,0.9337,0.79758,0.94197,0.84796,0.93317,0.73028,0.51952,0.74663,0.49846,0.89765,0,0.00104375,0.00104375,0.00104375
27,495.398,0.52909,0.65436,0.47787,0.89168,0,0.9243,0.87048,0.92301,0.79098,0.92344,0.86495,0.92434,0.73026,0.51791,0.67538,0.50745,0.88751,0,0.0010355,0.0010355,0.0010355
28,514.306,0.53342,0.6787,0.46997,0.88994,0,0.93175,0.83862,0.93241,0.79062,0.93096,0.83785,0.93062,0.73163,0.50544,0.65828,0.49793,0.87251,0,0.00102725,0.00102725,0.00102725
